Store,Dept,Date,Weekly_Sales,IsHoliday
28,40,2012-01-06,50932.42,False
18,93,2012-03-09,3196.12,False
38,4,2011-05-27,10125.03,False
29,33,2010-03-12,3311.26,False
13,52,2010-10-29,6335.65,False
13,49,2011-07-08,8971.23,False
12,27,2012-04-27,1575.35,False
10,49,2011-09-30,17308.45,False
11,33,2011-06-24,5763.39,False
26,82,2012-07-06,17034.57,False
5,60,2012-09-14,252.0,False
31,36,2011-06-10,5927.0,False
19,10,2010-03-05,23193.57,False
34,97,2012-03-02,16863.99,False
5,5,2011-07-01,6469.61,False
23,38,2011-02-04,40789.48,False
34,30,2010-04-23,1996.0,False
36,1,2010-02-26,1451.39,False
6,28,2010-03-12,795.89,False
37,97,2012-07-20,13189.29,False
18,8,2010-12-24,46070.05,False
2,46,2010-04-16,28595.87,False
32,54,2012-03-09,10.0,False
9,90,2011-07-08,3473.7,False
6,90,2012-02-17,56617.34,False
34,35,2011-06-24,1768.0,False
24,93,2010-02-26,28939.62,False
1,25,2011-10-21,9014.23,False
12,11,2012-01-27,16038.56,False
13,56,2012-10-05,3414.77,False
11,35,2011-01-21,2416.5,False
26,41,2012-01-20,493.5,False
24,98,2010-03-12,9837.14,False
4,36,2012-03-23,2120.0,False
29,9,2011-08-19,14890.55,False
37,96,2010-06-11,19058.62,False
18,22,2010-03-26,14391.09,False
31,74,2012-09-14,11250.46,False
13,29,2011-04-15,4232.54,False
39,40,2010-12-03,55442.62,False
33,90,2010-04-09,30293.31,False
15,36,2011-08-12,162.96,False
7,4,2012-07-06,22442.33,False
4,19,2012-07-20,1734.02,False
28,42,2010-08-27,5711.03,False
12,36,2011-03-04,802.5,False
45,79,2011-08-19,13689.64,False
4,79,2012-01-27,50912.17,False
43,38,2011-05-13,63496.58,False
32,55,2010-11-26,37008.51,True
28,5,2011-01-28,27247.94,False
2,13,2012-04-20,46514.01,False
34,27,2011-05-13,597.09,False
14,3,2012-03-30,12753.99,False
42,1,2011-10-21,10826.88,False
26,12,2011-03-11,3205.33,False
22,79,2012-10-12,15715.89,False
43,83,2010-09-17,5622.14,False
31,93,2011-03-04,54642.76,False
24,87,2011-05-13,22182.36,False
38,2,2012-06-29,11475.01,False
45,30,2012-09-14,2815.04,False
7,20,2011-03-25,2508.03,False
8,40,2011-09-16,36720.77,False
39,16,2010-12-31,5365.71,True
35,31,2012-01-27,3002.56,False
43,96,2012-06-08,26893.13,False
45,83,2010-08-27,1018.16,False
37,28,2012-08-17,84.91,False
36,16,2010-05-21,772.73,False
19,27,2011-07-08,1117.9,False
13,48,2010-10-15,756.0,False
6,28,2011-02-11,644.05,True
42,21,2010-07-23,1326.86,False
26,82,2011-04-29,10651.88,False
3,24,2012-08-17,5329.17,False
31,27,2011-02-18,1511.97,False
24,46,2010-07-16,16263.13,False
41,17,2012-01-13,10323.45,False
32,35,2011-10-21,2409.14,False
